recipient_location_id,name,active,recipient_id,address_id,category,textsearch,v1_id,phone,rec_name,created_at,updated_at,o_textsearch,line1,line2,city,state,census_tract_num,census_match,Updated Address?,Census/Address Match Type,Census State #,Census County#,Census Block#,,zip,geolocation,created_at_1,updated_at_1,textsearch_1,active_1,latitude,longitude,neighborhood,override,organization_size,clients,client_zipcode,links,comments,zip_poverty_rate,zip_median_income,zip_food_access,zip_food_access_rounded,1-low 2-ex. low,census_low_access,census_extremely_low_access,census_income,census_poverty_rate,urban_census_tract
260,,t,166,532,,,132,,SAY,17:14.8,17:14.8,say':1A,210 Grant St.,,Pittsburgh,PA,20100,Match,,Exact,42,3,5041,,15219,0101000020E610000032E6AE25E4FF53C02BDEC83CF2374440,17:14.8,40:04.3,,t,40.4371,-79.9983,Downtown,f,30,Downtown,15219,,No specific information found on web,37.2,21795,0.67272029,1,,0,0,132344,20.1,1
296,Red Door,t,185,568,,,265,,St. Mary of Mercy,17:15.1,17:15.1,mari':2A 'merci':4A 'st':1A,202 Stanwix Street,,Pittsburgh,PA,20100,Match,,Exact,42,3,1012,,15222,0101000020E6100000381092054C0054C03F355EBA49384440,17:15.1,40:24.1,,t,40.4398,-80.0046,Downtown,f,,Downtown,15222,https://www.stmaryofmercy.org/services,,13.5,81250,0.76708658,1,,0,0,132344,20.1,1
334,4th floor,t,213,606,,,184,,WIC Office,17:15.5,17:15.5,offic':2A 'wic':1A,239 Fourth Ave,,Pittsburgh,PA,20100,Tie,,,42,3,,,15222,0101000020E6100000B2852007250054C05CE674594C384440,17:15.5,40:45.4,,t,40.4398,-80.0023,Downtown,f,,Allegheny County,15222,https://pa211.communityos.org/zf/profile/program/id/414394,,13.5,81250,0.76708658,1,,0,0,132344,20.1,1
344,,t,223,616,,,152,,Wood Street Commons,17:15.5,17:15.5,common':3A 'street':2A 'wood':1A,301 Third Avenue,,Pittsburgh,PA,20100,Match,,Exact,42,3,1021,,15222,0101000020E61000000A80F10C1A0054C0234A7B832F384440,17:15.6,40:50.9,,t,40.4389,-80.0016,Downtown,f,248,Downtown,15222,https://chscorp.org/wood-street-commons,,13.5,81250,0.76708658,1,,0,0,132344,20.1,1
386,Project SILK,t,49,5034,2,,,,Community Human Services,17:13.3,17:13.3,communiti':1A 'human':2A 'servic':3A,304 Wood Street,,Pittsburgh,PA,20100,Match,,Exact,42,3,1021,,15222,0101000020E61000009C69C2F6130054C0CA181F662F384440,18:19.6,18:19.6,,t,40.4389,-80.0012,Downtown,f,,Downtown,15222,https://chscorp.org/wood-street-commons,Shelter,13.5,81250,1.00000002,1,,0,0,132344,20.1,1
427,Occupancy Department,t,82,5630,0,,,,HACP,17:13.7,17:13.7,hacp':1A,100 Ross St,4th Floor,Pittsburgh,PA,20100,Match,,Exact,42,3,5050,,15219,0101000020E610000090357E3CCFFF53C00A3CE6F2D5374440,23:56.0,23:56.0,,t,40.4362,-79.997,Downtown,f,,"Greater Hill District, the Larimer Avenue, Pittsburgh",15219 15206 15222,http://www.hacp.org/about,,23.6,47230,0.985617,1,,0,0,132344,20.1,1
108,,t,57,380,,,319,,DO NOT USE Veterans Leadership Program,17:13.4,17:13.4,leadership':5A 'program':6A 'use':3A 'veteran':4A,2934 Smallman St.,,Pittsburgh,PA,20300,Match,,Exact,42,3,1028,,15201,0101000020E61000004A9869FB57FE53C0ADDD76A1B93A4440,17:13.4,38:46.1,,t,40.4588,-79.9741,Strip District,f,,Strip District,15201,,,13.4,51201,1.19333944,1,,0,0,148000,4.8,1
248,,t,155,520,,,121,,Prince Of Peace Parish Pantry,17:14.7,17:14.7,pantri':5A 'parish':4A 'peac':3A 'princ':1A,81 S 13th St,,Pittsburgh,PA,20300,Match,,Exact,42,3,1112,,15203,0101000020E61000003B014D840DFF53C0187D0569C6364440,17:14.7,39:58.7,,t,40.4279,-79.9852,South Side Flats,f,,Southside,15203,http://www.princeofpeacepittsburgh.org/,,22.8,50893,0.17185652,0,,0,0,148000,4.8,1
321,Strip District,t,209,593,,,166,,Veteran's Leadership Program,17:15.4,17:15.4,leadership':3A 'program':4A 'veteran':1A,2934 Smallman St.,,Pittsburgh,PA,20300,Match,,Exact,42,3,1028,,15201,0101000020E6100000919801DE55FE53C0B0503E81C73A4440,17:15.4,40:37.8,,t,40.4588,-79.9741,Strip District,t,,Allegheny Armstrong Beaver Bedford Blair Butler Cambria Centre Clearfield Fayette Fulton Greene Hungtindon Indiana Lawrence Somerset Washington Westmoreland County,15201,http://www.vlpwpa.org/about/,,13.4,51201,0.61441231,1,,0,0,148000,4.8,1
426,Main Office,t,49,5569,,,,1.41E+10,Community Human Services,17:13.3,17:13.3,communiti':1A 'human':2A 'servic':3A,2525 Liberty Ave.,,Pittsburgh,PA,20300,No_Match,,,42,3,,,15222,0101000020E6100000053C1F5498FE53C044F1CFB1283A4440,23:29.6,23:29.6,,t,40.4544,-79.9781,Strip District,f,,Allegheny County,15222,https://chscorp.org/housing-assistance-programs,Housing Assistance Programs,13.5,81250,0.76708658,1,,0,0,148000,4.8,1
110,,t,59,382,,,358,,Dinwiddie Town Homes,17:13.4,17:13.4,dinwiddi':1A 'home':3A 'town':2A,310 Dinwiddie Street,,Pittsburgh,PA,30500,Match,,Exact,42,3,2004,,15219,0101000020E610000009168733BFFE53C08DB454DE8E384440,17:13.4,38:47.2,,t,40.4419,-79.9804,Crawford-Roberts,f,,Hill District,15219,http://www.dinwiddieapartments.com/history/,,48.2,16276,1.01005951,1,,0,0,22978,43.3,1
170,Hill District,t,97,442,,,258,,Jeron X Grayson Community Center,17:14.0,17:14.0,center':5A 'communiti':4A 'grayson':3A 'jeron':1A 'x':2A,1852 Enoch Street,,Pittsburgh,PA,30500,Match,,Exact,42,3,1009,,15219,0101000020E6100000D044D8F0F4FE53C00D71AC8BDB384440,17:14.0,39:18.8,,t,40.4442,-79.9837,Crawford-Roberts,f,,Hill District,15219,http://centerthatcares.org/programs/our-campus/,,48.2,16276,0.67272029,1,,0,0,22978,43.3,1
172,,t,99,444,,,89,,Jubilee Kitchen,17:14.0,17:14.0,jubile':1A 'kitchen':2A,2005 Wyandotte St,,Pittsburgh,PA,30500,Tie,,,42,3,,,15219,0101000020E61000002332ACE28DFE53C0F931E6AE25384440,17:14.0,39:19.5,,t,40.4386,-79.9774,Crawford-Roberts,f,40,Crawford-Roberts,15219,http://jubileesoupkitchen.org/index.php/john-heinz-child-development-center-2/,,48.2,16276,0.67272029,1,,0,0,22978,43.3,1
293,St. Joseph's Mens Shelter,t,182,565,,,256,,St. Joseph's House of Hospitality,17:15.1,17:15.1,hospit':6A 'hous':4A 'joseph':2A 'st':1A,1635 Bedford Ave,,Pittsburgh,PA,30500,Match,,Exact,42,3,1014,,15219,0101000020E610000025CCB4FD2BFF53C045F0BF95EC384440,17:15.1,40:22.3,,t,40.4447,-79.9871,Crawford-Roberts,f,,Hill District,15219,https://www.ccpgh.org/file/documents/2016/fliers/2016_StJoeBrochure.pdf,,48.2,16276,0.67272029,1,,0,0,22978,43.3,1
368,K. Leroy Irvis Towers,t,239,4855,0,,,1.41E+10,Arbor Management,23:18.6,23:18.6,arbor':1A 'manag':2A,715 Mercer St,,Pittsburgh,PA,30500,Match,,Exact,42,3,1015,,15219,0101000020E610000064EB19C231FF53C096C73FD8CE384440,24:15.7,24:15.7,,t,40.4438,-79.9874,Crawford-Roberts,f,,"Pittsburgh, Western Pennsylvania",15219,https://www.arbors.com/about-us/office-locations/,K Leroy Irvis Towers,48.2,16276,0.67272029,1,,0,0,22978,43.3,1
377,,t,246,4982,2,,,1.41E+10,John Heinz Child Development Center,08:22.8,08:22.8,center':5A 'child':3A 'develop':4A 'heinz':2A 'john':1A,2001 Wyandotte Street,,Pittsburgh,PR,30500,Tie,PA not PR,,42,3,,,15219,0101000020E610000081ECF5EE8FFE53C08A5A9A5B21384440,08:55.0,08:55.0,,t,40.4385,-79.9775,Crawford-Roberts,f,,Crawford-Roberts,15219,http://jubileesoupkitchen.org/index.php/john-heinz-child-development-center-2/,,48.2,16276,0.13114286,0,,0,0,22978,43.3,1
416,EIC,t,51,5482,,,,,Community Kitchen Pittsburgh,17:13.3,17:13.3,communiti':1A 'kitchen':2A 'pittsburgh':3A,1435 Bedford Ave,,Pittsburgh,PA,30500,No_Match,,,42,3,,,15219,0101000020E6100000B0EA07D04AFF53C0962F1E94E6384440,22:51.9,22:51.9,,t,40.4445,-79.9889,Crawford-Roberts,f,3400,Hazelwood?,15207,https://www.communitykitchenpittsburgh.org/,Not sure about this information so just copied the previous entry,48.2,16276,0.89593979,1,,0,0,22978,43.3,1
376,Neville,t,240,4967,0,,,1.41E+10,Family House,03:04.7,03:04.7,famili':1A 'hous':2A,514 N Neville St,,Pittsburgh,PA,40400,Tie,,,42,3,,,15213,0101000020E6100000302FC03EBAFC53C0493D55CF93394440,19:01.4,19:01.4,,t,40.4498,-79.9489,North Oakland,f,,North Oakland,15213,https://www.familyhouse.org/about-us/,,53,19925,0.67272029,1,,0,0,85438,46.5,1
99,McKee Place,t,49,371,,,266,,Community Human Services,17:13.3,17:13.3,communiti':1A 'human':2A 'servic':3A,233 McKee Place,,Pittsburgh,PA,40500,Match,,Exact,42,3,2006,,15213,0101000020E6100000ECDD1FEF55FD53C040FB912232384440,17:13.3,38:41.1,,t,40.439,-79.9584,Central Oakland,f,,Central Oakland,15213,http://www.cityviewpgh.com/,,53,19925,0.56224871,1,,1,0,21538,74.8,1
194,,t,120,466,,,283,,McKee Place (Community Human Services),17:14.2,17:14.2,communiti':3A 'human':4A 'mckee':1A 'place':2A 'servic':5A,233 Mckee Place,,Pittsburgh,PA,40500,Match,,Exact,42,3,2006,,15213,0101000020E6100000ECDD1FEC58FD53C05A5C898E38384440,17:14.2,28:58.0,,t,40.4392,-79.9585,Central Oakland,t,,Oakland,15213,"https://www.google.com/search?ei=f8pIW92JLNKHggeO44igDA&q=Community%20Health%20service%20mckee&oq=Community+Health+service+mckee&gs_l=psy-ab.3..33i21k1j33i160k1.2794.3807.0.3943.8.8.0.0.0.0.119.642.6j1.7.0....0...1.1.64.psy-ab..1.7.640...0i203k1j0i30k1.0.xjFsvqMzlS4&npsic=0&rflfq=1&rlha=0&rllag=40436244,-79957405,451&tbm=lcl&rldimm=17457648069654590038&ved=2ahUKEwiCuNuht5zcAhUxneAKHVPlCD4QvS4wAXoECAEQGQ&rldoc=1&tbs=lrf:!2m1!1e2!3sIAE,lf:1,lf_ui:2#rlfi=hd:;si:17457648069654590038;mv:!1m3!1d1346.322794260191!2d-79.95896800352932!3d40.43897067230176!3m2!1i492!2i681!4f13.1",,53,19925,0.56224871,1,,1,0,21538,74.8,1
101,Oakland,t,50,373,,,254,,Community Human Services Atwood Residential,17:13.3,17:13.3,atwood':4A 'communiti':1A 'human':2A 'residenti':5A 'servic':3A,414 Atwood Street,,Pittsburgh,PA,40600,Tie,,,42,3,,,15213,0101000020E6100000A987687407FD53C047ACC5A700384440,17:13.3,38:42.2,,t,40.4375,-79.9536,Central Oakland,f,,Central Oakland,15213,https://chscorp.org/service-area/program/enhanced-supported-housing-residential-services-chs,Enhanced Supported Housing Residential Services at CHS,53,19925,1.7426174,2,,1,0,48194,62.7,1
100,Oakland Food Pantry,t,49,372,,,55,,Community Human Services,17:13.3,17:13.3,communiti':1A 'human':2A 'servic':3A,370 Lawn St,,Pittsburgh,PA,40900,Match,,Exact,42,3,1014,,15213,0101000020E610000033FE7DC685FD53C01630815B77374440,17:13.3,38:41.7,,t,40.4333,-79.9613,South Oakland,f,250,South Oakland,15213,https://chscorp.org/food-pantry,Food Pantry,53,19925,0.56224871,1,,1,0,45875,46.7,1
144,Finello Pavilion,t,82,416,,,77,,HACP,17:13.7,17:13.7,hacp':1A,3206 Niagara St,,Pittsburgh,PA,40900,Match,,Exact,42,3,1014,,15213,0101000020E6100000CF66D5E76AFD53C0C8EF6DFAB3374440,17:13.7,39:05.7,,t,40.4352,-79.9596,South Oakland,f,7,South Oakland,15213,http://www.hacp.org/about,,37.7,28696,0.82359852,1,,1,0,45875,46.7,1
358,Oakland,t,232,4490,2,,,,Frazier House,07:54.8,09:25.7,frazier':1A 'hous':2A,3632 Frazier St,,Pittsburgh,PA,40900,Match,,Exact,42,3,2013,,15213,0101000020E610000064C8563C1AFD53C09E55B0D705374440,09:11.2,09:11.2,,t,40.4299,-79.9547,South Oakland,f,,South Oakland,15213,,No specific information found on web,53,19925,0.56224871,1,,1,0,45875,46.7,1
74,,t,30,346,,,42,,Bethel Ame Food Pantry,17:13.0,17:13.0,ame':2A 'bethel':1A 'food':3A 'pantri':4A,2720 Webster Avenue,,Pittsburgh,PA,50100,Match,,Exact,42,3,1011,,15219,0101000020E6100000989EB00D06FE53C042179526B2394440,17:13.0,44:33.9,,t,40.4507,-79.9691,Middle Hill,t,100,Middle Hill,15212,https://www.bethelpittsburgh.org/,,26.4,25000,0.67272029,1,,1,0,27548,32.5,1
125,,t,70,397,,,65,,FOCUS,17:13.5,17:13.5,focus':1A,2228 Centre Ave,,Pittsburgh,PA,50100,No_Match,,,42,3,,,15219,0101000020E6100000CAA65CE15DFE53C0B08F4E5DF9384440,17:13.5,38:55.2,,t,40.4451,-79.9745,Middle Hill,f,50,Hill District,15219,https://www.focuspgh.org/about,,37.2,21795,0.67272029,1,,1,0,27548,32.5,1
348,Centre Ave,t,225,620,,,155,,YMCA,17:15.6,17:15.6,ymca':1A,2621 Centre Avenue,,Pittsburgh,PA,50100,No_Match,,,42,3,,,15219,0101000020E6100000F9BD4D7FF6FD53C0137EA99F37394440,17:15.6,40:53.1,,t,40.447,-79.9682,Middle Hill,f,,Hill District,15219,http://www.ymcaofpittsburgh.org/centre/,,37.2,21795,0.67272029,1,,1,0,27548,32.5,1
140,Bedford Dwellings,t,82,412,,,82,,HACP,17:13.7,17:13.7,hacp':1A,2305 Bedford Ave,,Pittsburgh,PA,50900,Match,,Exact,42,3,1008,,15219,0101000020E610000028FC52156CFE53C0C9A820F68C394440,17:13.7,38:39.3,,t,40.4496,-79.9753,Bedford Dwellings,t,1233,Bedford Dwellings,15206,http://www.hacp.org/about,,49,10891,1.00150396,1,,1,0,13750,69.7,1
193,,t,119,465,,,313,,Matilda Theiss Health Center,17:14.2,17:14.2,center':4A 'health':3A 'matilda':1A 'theiss':2A,373 Burrows Street,,Pittsburgh,PA,51000,Match,,Exact,42,3,1005,,15213,0101000020E6100000F9F719170EFE53C00DC347C494384440,17:14.2,39:30.5,,t,40.442,-79.9696,Terrace Village,f,,West Oakland,15213,http://www.upmc.com/locations/community/Pages/matilda-theiss-health-center.aspx,,53,19925,0.56224871,1,,1,0,23102,48,1
180,,t,107,452,,,91,,Liberty Elementary,17:14.1,17:14.1,elementari':2A 'liberti':1A,601 Filbert Street,,Pittsburgh,PA,70300,Match,,Exact,42,3,1002,,15206,0101000020E6100000FD4D2844C0FB53C0A7052FFA0A3A4440,17:14.1,39:23.5,,t,40.4535,-79.9336,Shadyside,f,52,Shadyside,15232,"https://www.google.com/maps/place/Pittsburgh+Liberty+K-5/@40.4507942,-79.9361761,16.76z/data=!4m13!1m7!3m6!1s0x8834f2117904c3f9:0x2633210769b5afa1!2s601+Filbert+St,+Pittsburgh,+PA+15232!3b1!8m2!3d40.453205!4d-79.9335098!3m4!1s0x8834f211795b20df:0x399e45e1c24b22a0!8m2!3d40.453225!4d-79.9334516",,19,49882,0.15846712,0,,0,0,142813,12.2,1
257,,t,163,529,,,268,,Rodef Shalom,17:14.8,17:14.8,rodef':1A 'shalom':2A,4905 Fifth Ave,,Pittsburgh,PA,70900,Match,,Exact,42,3,3002,,15213,0101000020E6100000B1169F0260FC53C08CA19C6857394440,17:14.8,40:02.8,,t,40.448,-79.9434,Shadyside,f,,Oakland Shadyside,15213,Rodef Shalom,,53,19925,0.56224871,1,,0,0,110156,28.3,1
343,,t,222,615,,,151,,Womens Center and Shelter Shadyside,17:15.5,17:15.5,center':2A 'shadysid':5A 'shelter':4A 'women':1A,4760 Centre ave,,Pittsburgh,PA,70900,No_Match,,,42,3,,,15206,0101000020E61000005A91E22DA1FC53C0EC7F25FCF7394440,17:15.5,12:55.0,,t,40.4529,-79.9473,Shadyside,f,2100,North Oakland Shadyside,15206,http://www.wcspittsburgh.org/,,20.2,38646,1.19333944,1,,0,0,110156,28.3,1
369,Shadyside,t,240,4856,0,,,1.41E+10,Family House,03:04.7,03:04.7,famili':1A 'hous':2A,5245 Centre Ave,,Pittsburgh,PA,80400,No_Match,,,42,3,,,15232,0101000020E61000006823D74D29FC53C08D79C2B7553A4440,04:05.6,04:05.6,,t,40.4557,-79.94,Bloomfield,f,,Bloomfield,15232,https://www.familyhouse.org/about-us/,,19,49882,0.15846712,0,,0,0,56875,33.1,1
237,,t,149,509,,,120,,Pittsburgh Montessori,17:14.6,17:14.6,montessori':2A 'pittsburgh':1A,201 S Graham St,,Pittsburgh,PA,80700,Tie,,,42,3,,,15206,0101000020E61000004772F90FE9FB53C0FAD005F52D3B4440,17:14.6,39:53.4,,t,40.4623,-79.9361,Friendship,f,24,Friendship,15206,https://www.niche.com/k12/pittsburgh-montessori-school-pittsburgh-pa/,,20.2,38646,1.19333944,1,,0,0,52278,19.4,1
285,,t,175,557,,,136,,Sojourner House,17:15.0,17:15.0,hous':2A 'sojourn':1A,5460 Penn Avenue,,Pittsburgh,PA,80700,Match,,Exact,42,3,1002,,15206,0101000020E6100000E09C11A5BDFB53C0410E4A98693B4440,17:15.0,40:17.9,,t,40.4642,-79.9334,Friendship,f,,East Liberty Allegheny County,15206,http://www.sojournerhousepa.org/services/drug-alcohol-treatment/,,20.2,38646,1.19333944,1,,0,0,52278,19.4,1
63,,t,19,335,,,253,,Assemble,17:12.9,17:12.9,assembl':1A,4824 Penn Avenue,,Pittsburgh,PA,80900,No_Match,,,42,3,,,15224,0101000020E61000003FE3C28190FC53C0C898BB96903B4440,17:12.9,38:22.2,,t,40.4654,-79.9463,Garfield,f,,"Garfield, East Pittsburgh",15224,http://assemblepgh.org/,reach out local schools and organizations,22.3,42255,1.06357444,1,,0,0,43523,20.7,1
392,Healthy Food Center,t,254,5137,1,,,1.41E+10,Catholic Community of Bloomfield Food Pantry,06:15.2,06:15.2,bloomfield':4A 'cathol':1A 'communiti':2A 'food':5A 'pantri':6A,4921 Mend Way,,Pittsburgh,PA,80900,No_Match,,,42,3,,,15224,0101000020E6100000CC99ED0A7DFC53C0B04225091D3B4440,11:08.4,11:08.4,,t,40.4618,-79.9451,Pittsburgh,f,,"Bloomfield, Garfield, Lawrenceville",15224,https://pa211sw.communityos.org/zf/profile/agency/id/238266,,22.3,42255,0.76708658,1,,0,0,43523,20.7,1
415,Healthy Food Center,t,271,5481,1,,,1.41E+10,Allegheny Health Network,03:55.6,03:55.6,allegheni':1A 'health':2A 'network':3A,4921 Mend Way,"Ground Floor, Room G121",Pittsburgh,PA,80900,No_Match,,,42,3,,,15224,0101000020E6100000CC99ED0A7DFC53C0B04225091D3B4440,04:46.3,04:46.3,,t,40.4618,-79.9451,Pittsburgh,f,,Pittsburgh,15224,,West Penn Hospital,22.3,42255,1.7426174,2,,0,0,43523,20.7,1
51,Lawrenceville,t,9,323,,,201,,Abel I W Place,17:12.8,17:12.8,abel':1A 'place':4A 'w':3A,4720 Hatfield St,,Lawrenceville,PA,90100,No_Match,,,42,3,,,15201,0101000020E6100000F01B5F4B69FD53C0771DBEB1E23C4440,17:12.8,13:17.5,,t,40.4757,-79.9595,Lawrenceville,t,,Lawrenceville,15201,,,13.4,51201,1.20399218,1,,1,0,56193,16.4,1
229,West End,t,141,501,,,280,,PRYSE,17:14.6,17:14.6,pryse':1A,327 S Main St.,,Pittsburgh,PA,90200,Match,,Exact,42,3,3001,,15220,0101000020E61000003218C858120254C065C80CAF7F384440,17:14.6,49:38.6,,t,40.4414,-80.0324,West End,f,,Pittsburgh,15220,http://www.pryseacademy.org/about/,Youth Camp,9.4,65679,1.31421178,1,,1,0,68125,14.5,1
247,York Commons,t,154,519,,,157,,Presbyterian Senior Care,17:14.7,17:14.7,care':3A 'presbyterian':1A 'senior':2A,4003 Penn Avenue,,Pittsburgh,PA,90200,No_Match,,,42,3,,,15224,0101000020E61000004F1E166A4DFD53C0F3936A9F8E3B4440,17:14.7,39:58.1,,t,40.4653,-79.9578,Lawrenceville,f,,Pittsburgh,15224,https://www.srcare.org/,,22.3,42255,0.13114286,0,,1,0,68125,14.5,1
399,,t,261,5259,,,,,Children's Hospital of PIttsburgh of UPMC,15:02.3,15:02.3,children':1A 'hospit':3A 'pittsburgh':5A 'upmc':7A,4401 Penn Ave,,Pittsburgh,PA,90200,No_Match,,,42,3,,,15224,0101000020E6100000E85BD54801FD53C09CC0745AB73B4440,16:15.2,16:15.2,,t,40.4665,-79.9532,Lawrenceville,f,,Lawrenceville,15201,http://www.chp.edu/about/campus,,13.4,51201,1.46157623,1,,1,0,68125,14.5,1
428,Lawrenceville,t,279,5632,,,,,Estelle S. Campbell Boys & Girls Club,45:55.2,45:55.2,boy':4A 'campbel':3A 'club':6A 'estell':1A 'girl':5A,4600 Butler Street,,Pittsburgh,PA,90200,Match,,Exact,42,3,2000,,15201,0101000020E61000002F4FE78A52FD53C06AE4A9FD8C3C4440,46:20.8,46:20.8,,t,40.4731,-79.9582,Lawrenceville,f,,Lawrenceville,15201,https://pa211sw.communityos.org/zf/profile/service/id/846350,,13.4,51201,0.61441231,1,,1,0,68125,14.5,1
216,Garfield,t,130,488,,,243,,Neighborhood Academy,17:14.4,17:14.4,academi':2A 'neighborhood':1A,709 North Aiken Avenue,,Pittsburgh,PA,100500,Match,,Exact,42,3,1008,,15206,0101000020E6100000AF42CA4FAAFB53C07FD93D79583C4440,17:14.4,39:42.2,,t,40.4715,-79.9323,Stanton Heights,f,,Stanton Heights,15206,http://www.theneighborhoodacademy.org/about-us/our-approach.cfm,,20.2,38646,1.19333944,1,,1,0,46645,31.3,1
